Modern Eng.,Phase,Step,Accenture Asset/Accelerator,Ecosystem Partner,Custom,Multicloud,On-Prem,Air-Gapped,Actions (human defined),Demonstrable AI Use Case
Enterprise Eng.,Deployment / Migration,"Security testing – vulnerability assessments, penetration tests. (for cloud not app which forms the baseline for control inheritance by the app)",,,,,,,,
Enterprise Eng.,Operations & Maintenance,"SRE - Monitor & Optimize system performance, availability, and errors.",,,,,,,,
Enterprise Eng.,Operations & Maintenance,FinOps and Financial management cost optimization,,,,,,,,
Enterprise Eng.,Operations & Maintenance,"Apply bug fixes, patches, and updates.",,,,,,,,
Enterprise Eng.,Operations & Maintenance,Provide technical support to users.,,,,,,,,
Enterprise Eng.,Operations & Maintenance,Release minor/major enhancements based on user feedback.,,,,,,,Developers write code according to standards and best practices.,
Enterprise Eng.,Operations & Maintenance,Ensure compliance with security standards (patching vulnerabilities).,,,,,,,Opinionated Governance Framework,
Enterprise Eng.,Operations & Maintenance,Manage version control and releases for updates.,,,,,,,Opinionated Governance Framework,
Enterprise Eng.,Operations & Maintenance,Identity and Access Management,,,,,,,Opinionated Governance Framework,
Enterprise Eng.,Operations & Maintenance,Identity Lifecycle Management,,,,,,,Opinionated Governance Framework,
Enterprise Eng.,Service Support,Service Desk support,,,,,,,Opinionated Governance Framework,
Enterprise Eng.,Service Support,Change Management,,,,,,,Scrum,
Enterprise Eng.,Service Support,Release Management,,,,,,,Scrum,
Enterprise Eng.,Service Support,Service Introduction ,,,,,,,Communications,
Enterprise Eng.,Service Support,Incident / Problem / Knowledge Management,,,,,,,"Knowledge Transfer, Documentation",
Enterprise Eng.,Service Support,Vendor Management,,,,,,,,
Enterprise Eng.,Service Support,Customer Relationship Management,,,,,,,,
Enterprise Eng.,Service Support,Configuration Management - incl.  CMDB  +1,,,,,,,,
Enterprise Eng.,Service Support,Asset Management - incl. software licensing and certificate exp. Tracking,,,,,,,Opinionated Governance Framework,
Enterprise Eng.,Service Support,Security Monitoring,,,,,,,Opinionated Governance Framework,
Enterprise Eng.,Service Support,Security Incident Event Management (SIEM),,,,,,,Opinionated Governance Framework,
Enterprise Eng.,Service Support,Security Operations Automated Response (SOAR),,,,,,,Opinionated Governance Framework,
